Item Number,Long Description,Short Description,Product Number,PriceOB,ALL,STMARIA,SALINA,WAREHOUSE,STMWH,REPAIR,RMA,ADJ_REPAIR,ADJ_RMA,Last Received Date,Last Sold Date,Cost,Price,Margin
1097,SATA DATA Cable,SATA DATA Cable,AB200GEN04,2.99,857,19,13,729,96,0,0,0,0,2010-09-29,2026-03-18,1.16,2.82,58.9
1098,Nexxt Patch Cabl Cat5E 14ft GR,AB360NXT34,AB360NXT34,14.99,207,13,9,182,3,0,0,0,0,2024-02-27,2026-04-14,6.5,14.14,54
1101,Nexxt Patch Cabl Cat5E 50ft GR,AB360NXT56,AB360NXT56,34.99,74,7,5,59,3,0,0,0,0,2026-03-06,2026-04-21,16.07,33.01,51.3
1102,Power Cable,Power Cable,AB230GEN01,5.99,0,0,0,0,0,0,0,-13,0,2015-04-21,2024-11-21,1.39,5.65,75.4
1119,Nexxt RJ45 Cat5e Connector,AW102NXT01,AW102NXT01,0.49,280,280,0,0,0,0,0,0,0,2023-10-19,2026-04-07,0.22,0.46,52.2
1128,Nexxt Patch Cabl Cat5E 10ft GR,AB360NXT23xx,AB360NXT23xxx,9.99,0,0,0,0,0,0,0,0,0,2019-07-22,2019-08-06,3.91,9.42,58.5
1129,Nexxt Patch Cabl Cat5E 25ft GR,AB360NXT45,AB360NXT45,19.99,82,11,5,66,0,0,0,-1,0,2026-03-06,2026-04-20,8.68,18.86,54
1130,Nexxt Patch Cable Cat5E 7ft Gr,AB360NXT12,AB360NXT12,9.99,67,14,15,38,0,0,0,0,0,2024-07-10,2026-04-14,5.08,9.42,46.1
1162,Nexxt UTP Cat5E Per Meter,UTPCat5EP/M,UTPCat5EP/M,0.95,-121,-40,-81,0,0,0,0,0,0,,2026-02-05,0.5,0.9,44.4
1163,HP 78 Color Ink,C6578DL,C6578DL,69.99,0,0,0,0,0,0,0,0,0,2017-06-27,2018-01-23,78.37,66.03,-18.7
1166,HP 27 Black Ink,C8727AL,C8727AL,89.99,2,0,2,0,0,0,0,0,0,2020-03-03,2022-03-25,54.62,84.9,35.7
1167,HP 28 Color Ink,C8728AL,C8728AL,99.99,2,0,2,0,0,0,0,0,0,2020-11-11,2020-09-25,68.65,94.33,27.2
1244,HP 56 Black Ink,C6656AL,C6656AL,99.99,0,0,0,0,0,0,0,0,0,2020-01-31,2022-03-19,65.85,94.33,30.2
1247,HP 15 Black Ink,C6615DL,C6615DL,129.99,0,0,0,0,0,0,0,-3,0,2020-04-02,2020-11-23,91.71,122.63,25.2
1326,HP 122A Black Q3960A Toner,Q3960A,Q3960A,206.99,0,0,0,0,0,0,0,-1,0,2012-11-02,2013-01-25,141.91,195.27,27.3
1329,HP 123A Cyan Q3971A Toner,Q3971A,Q3971A,50,0,0,0,0,0,0,0,0,0,2009-05-12,2009-07-10,140.47,47.17,-197.8
1330,HP 95 Color Ink,C8766WL,C8766WL,119.98,0,0,0,0,0,0,0,0,0,2020-09-29,2021-04-26,79.68,113.19,29.6
1331,HP 96 Black Ink,C8767WL,C8767WL,139.99,0,0,0,0,0,0,0,0,0,2020-11-11,2021-08-02,94.34,132.07,28.6
1386,HP 97 Color Ink,C9363WL,C9363WL,59.99,1,0,1,0,0,0,0,0,0,2023-09-13,2021-08-02,42.51,56.59,24.9
1387,HP 94 Black Ink,C8765WL,C8765WL,99.99,0,0,0,0,0,0,0,-5,0,2019-10-29,2021-02-12,64.77,94.33,31.3
1388,HP 21 Black,C9351AL,C9351AL,64.99,6,0,6,0,0,0,0,-5,0,2023-10-19,2024-12-21,43.09,61.31,29.7
1476,HP 99,C9369WL,C9369WL,63.99,0,0,0,0,0,0,0,0,0,2011-03-02,2014-02-20,43.48,60.37,28
1570,HP 45 Black Ink,51645AL,51645AL,94.99,0,0,0,0,0,0,0,-2,0,2018-09-25,2018-08-30,79.54,89.61,11.2
1591,HP 22 Color Ink,C9352AL,C9352AL,94.99,14,4,7,3,0,0,0,0,0,2023-09-13,2025-01-31,58.9,89.61,34.3
1631,Nexxt Switch 16 Prt 10/100MBPS,ASFDT164U1,ASFDT164U1,105.99,0,0,0,0,0,0,0,0,0,2020-10-02,2022-02-14,42.83,99.99,57.2
1724,Nexxt Expandable Wall Mount 4U,AW220NXT39,AW220NXT39,179.99,0,0,0,0,0,0,0,0,0,2023-10-16,2025-07-29,95.18,169.8,43.9
1726,FIREWIRE CABLE 6FT 4PIN 4PIN,FIREWIRE CABLE,AB165GEN02,3,0,0,0,0,0,0,0,0,0,2011-06-12,2020-07-20,1.63,2.83,42.4
1733,Nexxt EXPANDABLE WALL BR - 2U,NEXXT EXPANDABL,AW220NXT38,79.99,0,0,0,0,0,0,0,0,0,2016-10-14,2017-09-22,45.23,75.46,40.1
1797,Canon 40 Black Ink,0615B050AA,0615B050AA,64.99,0,0,0,0,0,0,0,0,0,2022-11-11,2023-07-14,44.3,61.31,27.7
1802,HP 308A Black Toner,Q2670A,Q2670A,50,0,0,0,0,0,0,0,-3,0,2012-07-10,2007-01-29,235.26,47.17,-398.7
1803,HP 12A Black Q2612A Toner,Q2612A,Q2612A,289.99,4,2,2,0,0,0,0,-1,-1,2025-12-16,2026-04-17,194.09,273.58,29.1
1807,HP 93 Color Ink,C9361WL,C9361WL,89.99,1,0,1,0,0,0,0,-1,0,2020-12-10,2020-10-30,65.86,84.9,22.4
1810,Logitech Extreme 3D Pro Joysti,963290-0403,963290-0403,139.99,0,0,0,0,0,0,0,0,0,2025-03-18,2025-12-20,90.71,132.07,31.3
1847,Canon 41 Color Ink,0617B050AA,0617B050AA,79.99,0,0,0,0,0,0,0,0,0,2022-11-11,2023-08-02,56.16,75.46,25.6
1891,HP 17 Color Ink,C6625A,C6625A,85,0,0,0,0,0,0,0,-2,0,2018-11-08,2020-11-23,86.68,80.19,-8.1
2046,Nexxt UTP Cat5E Box 1000 ft,AB355NXT01,AB355NXT01,299.99,0,0,0,0,0,0,0,0,0,2024-07-10,2025-08-21,192.05,283.01,32.1
2047,Nexxt UTP Cat6 Box 1000 ft,AB356NXT01,AB356NXT01,489.99,8,2,2,4,0,0,0,0,0,2026-03-06,2026-04-09,272.44,462.25,41.1
2053,Nexxt UTP Cat6 Per Meter,UTPCat6P/M,UTPCat6P/M,1.54,33,-265,298,0,0,0,0,0,0,,2026-04-20,0.9,1.45,37.9
